  OB  D1  D2  D3  D4  D5  D6  D7  D1  D2  D3  D4  D5  D6  D7
   0   0   0   0   0   0   0   0   0  15  20  30   0   0   0
   0   0   0   0  20   0   0   0   0  15   0   0   0   0   0
   6  20   0   0   0  20  20  20  20  30  30  30   0   0   0
  33 100  50  20  10  20   0  20 100  60  40  30  20  20  30
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  40
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0  20   0   0   0   0   0   0  20  20   0   0   0   0  20
  60  80  60  30  20  20  20  20  70  60  50  40  20  20  30
   2  20  20  20  20  20  20  20  30  20  50  40  30  40  30
   0  30  30   0   0   0   0   0  40  20  20  30  20   0  20
   1  70  20   0   0   0   0   0  60  20   0   0   0  20  30
   0   0   0   0   0   0   0   0   0  20   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0   0   0   0   0   0   0   0   0   0  20
   0   0   0   0   0  10  20  20   0   0   0   0   0  20  20
   0   0   0   0   0   0  10  20   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0  20   0   0  20  20
   0   0  20  20  10  20  20  20   0  20   0   0  20  30  30
   0  20   0  40   0  10  20  20   0   0  50   0  20  40  40
   0  20  20  30   0   0   0   0  30  20  30  20   0  20   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0  40  20   0   0  10  20  20  50  30  20   0   0  15   0
   0  30  20  40  20  20  20  30  20  30  70  50  30  30  30
   0  20  40  30  20  20  20   0  15  20  50  30  30  30  30
   2  20   0   0   0   0   0   0  30   0  30  20  50  20  30
   0  40  30  20  20   0  20   0  50  50  40  40  30  50  30
   2   0   0   0  40  20  20   0  30  30  20  15  20  30   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
